code,latitude,longitude,matched_grid,number
DH03368378,23.795,120.384,ABVZ,1
DH03368379,23.796,120.375,ABVY,1
DH03368380,23.796,120.38,ABVZ,2
DH03368381,23.79,120.4,ABWA,1
DH03368382,23.79,120.371,ABVY,2
DH03368383,23.788,120.375,ABTX,1
DH03368384,23.78,120.386,ABTY,1
DH03368385,23.797,120.453,ABWC,1
DH03368386,23.79,120.46,ABWD,1
DH03368387,23.783,120.453,ABUB,1
DH03368388,23.785,120.461,ABUC,1
DH03368389,23.781,120.536,ABUF,1
DH03368390,23.804,120.637,ABWL,1
DH03368391,23.799,120.707,ABWP,1
DH03368392,23.783,120.708,ABUO,1
DH03368393,23.797,121.452,ALQC,1
DH03368394,23.787,121.463,ALQD,1
DH03368395,23.782,121.453,ALPL,1
DH03368396,23.779,121.466,ALPM,1
DH03368397,23.714,120.22,ABLI,1
DH03368398,23.716,120.205,ABNJ,1
DH03368399,23.719,120.297,ABNO,1
DH03368400,23.713,120.296,ABLL,1
DH03368401,23.716,120.291,ABNN,1
DH03368402,23.711,120.282,ABLL,2
DH03368403,23.709,120.294,ABLL,3
DH03368404,23.702,120.285,ABLL,4
DH03368405,23.718,120.368,ABNR,1
DH03368406,23.717,120.375,ABNR,2
DH03368407,23.714,120.384,ABLQ,1
DH03368408,23.709,120.389,ABLQ,2
DH03368409,23.711,120.37,ABLP,1
DH03368410,23.713,120.378,ABLQ,3
DH03368411,23.712,120.385,ABLQ,4
DH03368412,23.711,120.378,ABLQ,5
DH03368413,23.703,120.38,ABLQ,6
DH03368414,23.707,120.377,ABLP,2
DH03368415,23.703,120.37,ABLP,3
DH03368416,23.707,120.374,ABLP,4
DH03368417,23.708,120.378,ABLQ,7
DH03368418,23.704,120.377,ABLP,5
DH03368419,23.726,120.468,ABNW,1
DH03368420,23.719,120.449,ABNV,1
DH03368421,23.719,120.456,ABNV,2
DH03368422,23.712,120.471,ABLU,1
DH03368423,23.715,120.466,ABNW,2
DH03368424,23.712,120.465,ABLU,2
DH03368425,23.708,120.451,ABLT,1
DH03368426,23.714,120.453,ABLT,2
DH03368427,23.708,120.458,ABLT,3
DH03368428,23.72,120.535,ABNZ,1
DH03368429,23.716,120.537,ABNZ,2
DH03368430,23.718,120.544,ABOA,1
DH03368431,23.711,120.53,ABLX,1
DH03368432,23.702,120.535,ABLX,2
DH03368433,23.705,120.549,ABLY,1
DH03368434,23.701,120.541,ABLY,2
DH03368435,23.708,121.452,ALNP,1
DH03368436,23.631,120.213,ABCY,1
DH03368437,23.628,120.21,ABCY,2
DH03368438,23.624,120.217,ABCZ,1
DH03368439,23.618,120.206,ABAW,1
DH03368440,23.623,120.21,ABCY,3
DH03368441,23.622,120.213,ABCY,4
DH03368442,23.616,120.208,ABAW,2
DH03368443,23.61,120.211,ABAW,3
DH03368444,23.629,120.286,ABDC,1
DH03368445,23.627,120.293,ABDC,2
DH03368446,23.622,120.296,ABDC,3
DH03368447,23.626,120.287,ABDC,4
DH03368448,23.626,120.29,ABDC,5
DH03368449,23.624,120.285,ABDC,6
DH03368450,23.623,120.289,ABDC,7
DH03368451,23.622,120.287,ABDC,8
DH03368452,23.619,120.29,ABBA,1
DH03368453,23.619,120.291,ABBA,2
DH03368454,23.618,120.285,ABBA,3
DH03368455,23.616,120.294,ABBA,4
DH03368456,23.615,120.287,ABBA,5
DH03368457,23.618,120.389,ABBF,1
DH03368458,23.614,120.385,ABBF,2
DH03368459,23.63,120.382,ABDH,1
DH03368460,23.631,120.377,ABDG,1
DH03368461,23.625,120.379,ABDH,2
DH03368462,23.623,120.385,ABDH,3
DH03368463,23.62,120.38,ABBF,3
DH03368464,23.615,120.379,ABBF,4
DH03368465,23.616,120.378,ABBF,5
DH03368466,23.625,120.463,ABDL,1
DH03368467,23.624,120.455,ABDK,1
DH03368468,23.621,120.464,ABBJ,1
DH03368469,23.616,120.461,ABBJ,2
DH03368470,23.618,120.462,ABBJ,3
DH03368471,23.617,120.468,ABBJ,4
DH03368472,23.617,120.455,ABBI,1
DH03368473,23.616,120.465,ABBJ,5
DH03368474,23.627,120.541,ABDP,1
DH03368475,23.62,120.536,ABBM,1
DH03368476,23.618,120.534,ABBM,2
DH03368477,23.617,120.538,ABBM,3
DH03368478,23.611,120.535,ABBM,4
DH03368479,23.613,120.539,ABBM,5
DH03368480,23.618,121.384,ALKQ,1
DH03368481,23.551,120.229,AAUX,1
DH03368482,23.547,120.21,AASV,1
DH03368483,23.545,120.205,AASV,2
DH03368484,23.543,120.212,AASV,3
DH03368485,23.542,120.205,AASV,4
DH03368486,23.538,120.206,AASV,5
DH03368487,23.535,120.206,AASV,6
DH03368488,23.536,120.213,AASV,7
DH03368489,23.53,120.211,AASV,8
DH03368490,23.545,120.296,AASZ,1
DH03368491,23.542,120.294,AASZ,2
DH03368492,23.544,120.292,AASZ,3
DH03368493,23.541,120.285,AASZ,4
